,Density_Field,Omega_m,Omega_b,h,n_s,sigma_8
0,/data74/chartier/3D_cubesDF/fiducial/3D_df128_z0p000/0/df_m_128_CIC_z=0.npy,0.3175,0.049,0.6711,0.9624,0.834
1,/data74/chartier/3D_cubesDF/fiducial/3D_df128_z0p000/1/df_m_128_CIC_z=0.npy,0.3175,0.049,0.6711,0.9624,0.834
2,/data74/chartier/3D_cubesDF/fiducial/3D_df128_z0p000/2/df_m_128_CIC_z=0.npy,0.3175,0.049,0.6711,0.9624,0.834
3,/data74/chartier/3D_cubesDF/fiducial/3D_df128_z0p000/3/df_m_128_CIC_z=0.npy,0.3175,0.049,0.6711,0.9624,0.834
4,/data74/chartier/3D_cubesDF/fiducial/3D_df128_z0p000/4/df_m_128_CIC_z=0.npy,0.3175,0.049,0.6711,0.9624,0.834
5,/data74/chartier/3D_cubesDF/fiducial/3D_df128_z0p000/5/df_m_128_CIC_z=0.npy,0.3175,0.049,0.6711,0.9624,0.834
6,/data74/chartier/3D_cubesDF/fiducial/3D_df128_z0p000/6/df_m_128_CIC_z=0.npy,0.3175,0.049,0.6711,0.9624,0.834
7,/data74/chartier/3D_cubesDF/fiducial/3D_df128_z0p000/7/df_m_128_CIC_z=0.npy,0.3175,0.049,0.6711,0.9624,0.834
8,/data74/chartier/3D_cubesDF/fiducial/3D_df128_z0p000/8/df_m_128_CIC_z=0.npy,0.3175,0.049,0.6711,0.9624,0.834
9,/data74/chartier/3D_cubesDF/fiducial/3D_df128_z0p000/9/df_m_128_CIC_z=0.npy,0.3175,0.049,0.6711,0.9624,0.834
10,/data74/chartier/3D_cubesDF/fiducial/3D_df128_z0p000/10/df_m_128_CIC_z=0.npy,0.3175,0.049,0.6711,0.9624,0.834
11,/data74/chartier/3D_cubesDF/fiducial/3D_df128_z0p000/11/df_m_128_CIC_z=0.npy,0.3175,0.049,0.6711,0.9624,0.834
12,/data74/chartier/3D_cubesDF/fiducial/3D_df128_z0p000/12/df_m_128_CIC_z=0.npy,0.3175,0.049,0.6711,0.9624,0.834
13,/data74/chartier/3D_cubesDF/fiducial/3D_df128_z0p000/13/df_m_128_CIC_z=0.npy,0.3175,0.049,0.6711,0.9624,0.834
