,Density_Field,Omega_m,Omega_b,h,n_s,sigma_8
0,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/0/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
1,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/1/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
2,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/2/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
3,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/3/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
4,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/4/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
5,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/5/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
6,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/6/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
7,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/7/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
8,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/8/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
9,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/9/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
10,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/10/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
11,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/11/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
12,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/12/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
13,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/13/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
14,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/14/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
15,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/15/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
16,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/16/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
17,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/17/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
18,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/18/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
19,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/19/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
20,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/20/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
21,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/21/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
22,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/22/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
23,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/23/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
24,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/24/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
25,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/25/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
26,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/26/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
27,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/27/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
28,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/28/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
29,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/29/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
30,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/30/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
31,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/31/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
32,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/32/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
33,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/33/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
34,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/34/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
35,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/35/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
36,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/36/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
37,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/37/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
38,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/38/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
39,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/39/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
40,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/40/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
41,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/41/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
42,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/42/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
43,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/43/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
44,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/44/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
45,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/45/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
46,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/46/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
47,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/47/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
48,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/48/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
49,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/49/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
50,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/50/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
51,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/51/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
52,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/52/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
53,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/53/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
54,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/54/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
55,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/55/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
56,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/56/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
57,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/57/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
58,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/58/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
59,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/59/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
60,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/60/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
61,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/61/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
62,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/62/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
63,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/63/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
64,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/64/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
65,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/65/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
66,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/66/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
67,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/67/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
68,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/68/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
69,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/69/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
70,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/70/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
71,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/71/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
72,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/72/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
73,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/73/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
74,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/74/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
75,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/75/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
76,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/76/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
77,/data74/anirban/Quijote/Fid_data_128/PK/128/log_bins/77/PK_128_log_bins.npy,0.3175,0.049,0.6711,0.9624,0.834
