,Density_Field,Omega_m,Omega_b,h,n_s,sigma_8
0,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/405/PK_128_log_bins.npy,0.39670000000000005,0.05351,0.5141,0.9647,0.9005
1,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1190/PK_128_log_bins.npy,0.3985000000000001,0.059410000000000004,0.8203,1.1890999999999998,0.7979
2,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1132/PK_128_log_bins.npy,0.1125,0.04939,0.5065,1.1069,0.7879
3,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/731/PK_128_log_bins.npy,0.4393,0.056810000000000006,0.7359,1.1379,0.8107
4,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1754/PK_128_log_bins.npy,0.2025,0.06355,0.6214999999999999,1.1753,0.8689
5,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1178/PK_128_log_bins.npy,0.2733,0.046130000000000004,0.7355,1.1347,0.8853
6,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1533/PK_128_log_bins.npy,0.1559,0.03467,0.6673,1.0878999999999999,0.9345
7,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1303/PK_128_log_bins.npy,0.3759,0.03549,0.5047,1.0285,0.7653
8,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1857/PK_128_log_bins.npy,0.3351,0.03319,0.5439,0.9117000000000001,0.6113
9,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/18/PK_128_log_bins.npy,0.1131,0.05835,0.6561,0.9527,0.8183
10,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1266/PK_128_log_bins.npy,0.36330000000000007,0.04601,0.7555000000000001,1.1075,0.8567
11,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1543/PK_128_log_bins.npy,0.1227,0.04177,0.7073,0.8269000000000001,0.8574999999999999
12,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/249/PK_128_log_bins.npy,0.26430000000000003,0.03397,0.5073,1.0197,0.7947
13,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/191/PK_128_log_bins.npy,0.1469,0.06269000000000001,0.7535000000000001,0.9033,0.9749
14,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/721/PK_128_log_bins.npy,0.1683,0.038489999999999996,0.5355,0.9789,0.9033
15,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1896/PK_128_log_bins.npy,0.20630000000000004,0.04297,0.8996999999999999,1.0319,0.6485
16,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/452/PK_128_log_bins.npy,0.1233,0.04041,0.7787,0.9949,0.9682999999999999
17,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1947/PK_128_log_bins.npy,0.2169,0.04243,0.8133,0.9599,0.7968999999999999
18,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1544/PK_128_log_bins.npy,0.39470000000000005,0.06481,0.5181,0.8903,0.9903
19,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1205/PK_128_log_bins.npy,0.1385,0.04673000000000001,0.6037,0.8113,0.8763
20,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1905/PK_128_log_bins.npy,0.3425,0.04033,0.5851,1.0729,0.7029
21,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1235/PK_128_log_bins.npy,0.2771,0.035250000000000004,0.8401000000000001,0.9227,0.7801
22,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/799/PK_128_log_bins.npy,0.39970000000000006,0.061070000000000006,0.5853,1.0549,0.9877
23,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1594/PK_128_log_bins.npy,0.30250000000000005,0.055990000000000005,0.7017,1.0411,0.8905000000000001
24,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1091/PK_128_log_bins.npy,0.3781,0.04707,0.8235000000000001,0.8683000000000001,0.6737
25,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1357/PK_128_log_bins.npy,0.23850000000000005,0.030209999999999997,0.8427,0.9019,0.7625
26,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/479/PK_128_log_bins.npy,0.4161,0.06619,0.6971,1.1983,0.8989
27,/data74/anirban/Quijote/LH_data_128/PK/128/log_bins/1148/PK_128_log_bins.npy,0.2611,0.05967,0.8119000000000001,1.0169,0.8621
