,Density_Field,Omega_m,Omega_b,h,n_s,sigma_8
0,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1715/df_m_128_z=0.npy,0.4749,0.04969,0.5361,0.9682999999999999,0.9805
1,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/497/df_m_128_z=0.npy,0.1067,0.04285,0.6065,0.9501,0.6527
2,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/784/df_m_128_z=0.npy,0.19030000000000002,0.05573,0.8309,0.8215,0.6275
3,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/994/df_m_128_z=0.npy,0.40290000000000004,0.03741,0.5053,0.8569,0.8551
4,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1162/df_m_128_z=0.npy,0.24470000000000003,0.053950000000000005,0.8211,0.9195,0.7643
5,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/49/df_m_128_z=0.npy,0.39150000000000007,0.05877,0.6241,0.9763,0.7073
6,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/457/df_m_128_z=0.npy,0.2653,0.04171,0.6431,0.9537,0.7049
7,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1538/df_m_128_z=0.npy,0.3689,0.03537,0.5113,1.1843,0.6419
8,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/425/df_m_128_z=0.npy,0.19490000000000002,0.03777,0.8727,1.0929,0.6306999999999999
9,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1569/df_m_128_z=0.npy,0.1247,0.05581,0.6593,0.8957,0.6953
10,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/157/df_m_128_z=0.npy,0.2811,0.05577,0.7837000000000001,1.0343,0.8603
11,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/85/df_m_128_z=0.npy,0.18050000000000002,0.05081,0.6989,1.1073,0.8441
12,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/522/df_m_128_z=0.npy,0.3137,0.03399,0.6915,1.1095,0.6973
13,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1887/df_m_128_z=0.npy,0.15450000000000003,0.06731000000000001,0.8661000000000001,0.9799,0.8694999999999999
14,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1630/df_m_128_z=0.npy,0.3703000000000001,0.04851,0.7384999999999999,0.9839,0.6873
15,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/160/df_m_128_z=0.npy,0.36829999999999996,0.06667000000000001,0.5491,0.8247,0.7225
16,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/66/df_m_128_z=0.npy,0.2891,0.04827,0.6573,1.0513,0.7891
17,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1529/df_m_128_z=0.npy,0.39390000000000003,0.06719,0.7169,1.1099,0.6980999999999999
18,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/174/df_m_128_z=0.npy,0.38750000000000007,0.05563,0.7908999999999999,0.9325,0.9671000000000001
19,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1161/df_m_128_z=0.npy,0.3991,0.04553,0.8413,0.8965000000000001,0.7241
20,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1462/df_m_128_z=0.npy,0.20790000000000003,0.06733,0.7807000000000001,0.8665,0.8303
21,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1967/df_m_128_z=0.npy,0.4719000000000001,0.03867,0.6083000000000001,1.1783000000000001,0.8973
22,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1591/df_m_128_z=0.npy,0.1811,0.04771,0.7257,1.0073,0.6445
23,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/187/df_m_128_z=0.npy,0.4617,0.06217,0.6223,1.0669,0.7023
24,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1123/df_m_128_z=0.npy,0.1129,0.045450000000000004,0.6351,0.9433,0.8554999999999999
25,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1990/df_m_128_z=0.npy,0.4747,0.06185,0.8197000000000001,0.9511000000000001,0.6127
26,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/768/df_m_128_z=0.npy,0.39649999999999996,0.06623000000000001,0.6693,1.0461,0.6049
27,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1576/df_m_128_z=0.npy,0.15130000000000002,0.03233,0.8341000000000001,1.1283,0.6077
28,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1066/df_m_128_z=0.npy,0.37550000000000006,0.05519,0.6697,1.1641,0.8536999999999999
29,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/167/df_m_128_z=0.npy,0.4619,0.06565000000000001,0.7893,1.0474999999999999,0.9869
30,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/133/df_m_128_z=0.npy,0.2203,0.060730000000000006,0.6263,1.1229,0.8983
31,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/696/df_m_128_z=0.npy,0.2057,0.059590000000000004,0.7193,1.0443,0.8343
32,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/339/df_m_128_z=0.npy,0.35830000000000006,0.03787,0.8525,0.9725,0.7371
33,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1666/df_m_128_z=0.npy,0.3617,0.03103,0.8773,1.1861,0.9973
34,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1626/df_m_128_z=0.npy,0.2093,0.03529,0.7813000000000001,1.1455,0.6583
35,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/998/df_m_128_z=0.npy,0.1325,0.04361,0.8445,1.0495,0.8055
36,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1094/df_m_128_z=0.npy,0.1855,0.03265,0.8105,1.1695,0.9539
37,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/705/df_m_128_z=0.npy,0.28390000000000004,0.03261,0.8777,0.9071,0.6379
38,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1443/df_m_128_z=0.npy,0.22870000000000001,0.054110000000000005,0.6793,0.8881,0.8205
39,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/683/df_m_128_z=0.npy,0.18330000000000002,0.03637,0.5567,0.8035,0.8293
40,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1757/df_m_128_z=0.npy,0.32270000000000004,0.052890000000000006,0.8507,1.1411,0.6259
41,/data74/chartier/3D_cubesDF/LH_data/df3D_LH/1663/df_m_128_z=0.npy,0.4387,0.06441,0.6317,0.8015,0.7245
